cle,Name-Nom,Role-Rôle, Amount-Montant ,Fiscal_Year-Exercice_financier,Institution,Établissement,Province_ID,Province_EN,Province_FR,Competition_Year-Année_du_concours,Title-Titre,Keywords-Mots-clés,Program,Programme,Discipline_EN,Discipline_FR,Main_Discipline,Discipline_principale,Area_of_Research,Domaine_de_recherche
96223,Nouvelles perspectives en sciences sociales,General Support," $19,400 ",2019,Laurentian University,Université Laurentienne,ON,Ontario,Ontario,2018,Nouvelles perspectives en sciences sociales,analyse relationnelle; systémique complexe; interdisciplinarité,Aid to Scholarly Journals,Aide aux revues savantes,Sociology,Sociologie,Sociology,Sociologie,Communication,Communications
96224,Canadian Journal of Nonprofit and Social Economy Research,General Support," $19,750 ",2019,University of Alberta,University of Alberta,AB,Alberta,Alberta,2018,Canadian Journal of Nonprofit and Social Economy Research / Revue canadienne de recherche sur les OSBL et l'économie sociale,nonprofit; social economy; co-operatives; civil society; voluntary sector; policy; community development,Aid to Scholarly Journals,Aide aux revues savantes,Other Administrative Studies,Sciences administratives (autres),"Management, Business, Administrative Studies","Sciences administratives, gestion des affaires et commerce",Social development and welfare,Développement social et bien-être
96225,Canadian Journal of Bioethics,General Support," $28,100 ",2019,Université de Montréal,Université de Montréal,QC,Quebec,Québec,2018,Canadian Journal of Bioethics / Revue canadienne de bioéthique,bioethics; medical ethics; clinical ethics; research ethics; public health ethics; technology ethics; professional ethics,Aid to Scholarly Journals,Aide aux revues savantes,Bioethics,Bioéthique,Philosophy,Philosophie,Ethics,Éthique
96226,Canadian Medical Education Journal,General Support," $30,000 ",2019,University of Saskatchewan,University of Saskatchewan,SK,Saskatchewan,Saskatchewan,2018,Canadian Medical Education Journal,education; medical education; teaching; curriculum; continuing education,Aid to Scholarly Journals,Aide aux revues savantes,Education,Éducation,Education,Éducation,Education,Éducation
96227,Anthropologie et sociétés,General Support," $35,000 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Anthropologie et sociétés,anthropologie générale; sociétés; cultures; critique et théories de l'anthropologie; organisation sociale; politique; économie; nature et environnement; religions; cosmologies et symbolisme; ethnographie; études comparatives,Aid to Scholarly Journals,Aide aux revues savantes,Anthropology,Anthropologie,Anthropology,Anthropologie,Population studies,Études de la population
96228,Philosophical Inquiry in Education,General Support," $28,900 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2018,Philosophical Inquiry in Education,philosophy of education; educational theory; moral education; civic education,Aid to Scholarly Journals,Aide aux revues savantes,Philosophy of Education,Philosophie de l'éducation,Education,Éducation,Education,Éducation
96229,Revue Gouvernance,General Support," $11,798 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2018,Revue Gouvernance,gouvernance; gouvernance publique; gouvernance sociale; administration publique; gestion publique; politiques publiques; interdisciplinaire; pluri-méthodologique; Canada; administration publique comparée,Aid to Scholarly Journals,Aide aux revues savantes,Government and Public Administration,Gouvernement et administration publique,Political Science,Sciences politiques,Politics and government,Politique et gouvernement
96230,Mesure et évaluation en éducation,General Support," $24,250 ",2019,University of Ottawa,Université d'Ottawa,ON,Ontario,Ontario,2018,Mesure et évaluation en éducation,mesure; évaluation; méthodologies; tests; questionnaires; docimologie; apprentissages; compétences; psychométrie; recherche,Aid to Scholarly Journals,Aide aux revues savantes,Measurement and Evaluation,Mesure et évaluation,Education,Éducation,Politics and government,Politique et gouvernement
96231,Semiotic Inquiry,General Support," $24,750 ",2019,Concordia University,Université Concordia,QC,Quebec,Québec,2018,Recherches Sémiotiques / Semiotic Inquiry,sémiotique; sémiologie; philosophie du langage; études littéraires; arts; linguistiques; études culturelles; communication; médias; pragmatisme; structuralisme,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,Arts and culture,Beaux-arts et culture
96232,Rabaska: Revue d'ethnologie de l'Amérique française,General Support," $18,800 ",2019,Société québécoise d'ethnologie,Société québécoise d'ethnologie,QC,Quebec,Québec,2018,Rabaska. Revue d'ethnologie de l'Amérique française,ethnologie; patrimoine culturel immatériel; culture populaire; oralité; folklore; littérature orale; pratiques culturelles; traditions populaires; francophonie canadienne; nord-américaine; internationale; études comparatives; terrain; recherche-action,Aid to Scholarly Journals,Aide aux revues savantes,Other Anthropology,Anthropologie (autres),Anthropology,Anthropologie,Arts and culture,Beaux-arts et culture
96233,RACAR: Canadian Art Review,General Support," $24,248 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,RACAR: Revue d'art canadienne/Canadian Art Review,art history; research-creation; visual arts; architecture; design; digital media; photography; art curatorship; visual and material culture studies; design history; architecture history; craft history; curatorial studies,Aid to Scholarly Journals,Aide aux revues savantes,Art History,Histoire de l'art,Fine Arts,Beaux-arts,Arts and culture,Beaux-arts et culture
96234,McGill Journal of Education,General Support," $30,000 ",2019,McGill University,Université McGill,QC,Quebec,Québec,2018,McGill Journal of Education / Revue des sciences de l'education de McGill,educational research; elementary and secondary curriculum; Indigenous education; international; literacy/ies; social studies education; policy studies; math & science education; social justice; teacher education; leadership; second language; technology,Aid to Scholarly Journals,Aide aux revues savantes,Education,Éducation,Education,Éducation,Education,Éducation
96235,Téoros,General Support," $28,877 ",2019,Université du Québec à Montréal,Université du Québec à Montréal,QC,Quebec,Québec,2018,Téoros - revue de recherche en tourisme,tourisme; gestion; gouvernance; développement durable; culture; identité; expérience; patrimoine; ressources naturelles; ressources culturelles; aménagement; hébergement; communauté; destination; méthodologie; épistémologie,Aid to Scholarly Journals,Aide aux revues savantes,Interdisciplinary Studies,Études pluridisciplinaires,Interdisciplinary Studies,Études pluridisciplinaires,"Leisure, recreation and tourism",Loisirs et tourisme
96236,TESL Canada Journal,General Support," $32,750 ",2019,Western University (The University of Western Ontario),Western University (The University of Western Ontario),ON,Ontario,Ontario,2018,TESL Canada Journal / Revue TESL du Canada,second language learning; second language teaching; second language teacher education,Aid to Scholarly Journals,Aide aux revues savantes,Applied Linguistics,Linguistique appliquée,Linguistics,Linguistique,Education,Éducation
96237,Newfoundland and Labrador Studies,General Support," $22,460 ",2019,Memorial University of Newfoundland,Memorial University of Newfoundland,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2018,Newfoundland and Labrador Studies,Newfoundland and Labrador; history; literature; Aboriginal studies; folklore; economic development; politics; regional and northern development; fisheries; education; geography; sociology; cultural studies,Aid to Scholarly Journals,Aide aux revues savantes,History,Histoire,History,Histoire,Arts and culture,Beaux-arts et culture
96238,Cahiers de géographie du Québec: Revue internationale de géographie humaine,General Support," $26,000 ",2019,Université Laval,Université Laval,QC,Quebec,Québec,2018,Cahiers de géographie du Québec: Revue internationale de géographie humaine,géographie humaine; territoire; région; lieu; habitat; ville; campagne; population; aménagement; urbanisme; développement régional; interdisciplinarité; sciences humaines et sociales,Aid to Scholarly Journals,Aide aux revues savantes,Geography,Géographie,Geography,Géographie,Not Subject to Research Classification,Sans objet
