Unique_ID,FiscalYear,Institution,AmountPaid,Program_Name,Program_Type,Title,Main_Discipline,Area_of_Research
675524.0,2019,University of British Columbia,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Neuroethics,Biomedical,Nervous system
524297.0,2019,University of Toronto,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Embryonic Stem Cell Biology,Biomedical,Cell biology
840659.0,2019,Queen's University,200000.0,Canada Research Chairs - CIHR Funded - Tier 1,Award Program,Urologic Pain and Inflammation,Biomedical,Other medical research
640857.0,2019,National Association of Friendship Centres,235184.0,Pathways to Health Equity for Aboriginal Peoples - Partners for Engagement and Knowledge Exchange (PEKEs),Grant Program,PEKE: National Association of Friendship Centres,Social/Cultural/Environmental/Population Health,Psychosocial/health behavioural res.
526250.0,2019,Native Women's Association of Canada,230632.0,Pathways to Health Equity for Aboriginal Peoples - Partners for Engagement and Knowledge Exchange (PEKEs),Grant Program,PEKE: Native Women's Association of Canada,Social/Cultural/Environmental/Population Health,Epidemiology
199561.0,2019,First Nations Health and Social Secretariat of Manitoba,231784.0,Pathways to Health Equity for Aboriginal Peoples - Partners for Engagement and Knowledge Exchange (PEKEs),Grant Program,PEKE: First Nations Health and Social Secretariat of Manitoba,Social/Cultural/Environmental/Population Health,Health research
694916.0,2019,Hospital for Sick Children,106281.0,Operating Grant,Grant Program,Electron cryomicroscopy of rotary ATPases,Biomedical,Molecular biology
573909.0,2019,University of Western Ontario,124226.0,Operating Grant,Grant Program,Mechanisms of Ubiquitination in Health and Parkinson's Disease,Biomedical,Health research
944215.0,2019,Hospital for Sick Children,77342.0,Operating Grant,Grant Program,Drosophila Models of Human Obesity,Biomedical,Genetics
847580.0,2019,University of Saskatchewan,78470.0,Operating Grant,Grant Program,CCN2 action in fibrosis: Cellular and molecular mechanisms,Biomedical,"Molecular, cellular and systems biology-cell signaling"
497137.0,2019,University of Alberta,79383.0,Operating Grant,Grant Program,Protein Mediated Regulation of the Myocardial Na+/H+ Exchanger,Biomedical,"Cardiovascular, respiratory and circulatory systems-cardiovascular and circulatory sciences"
530916.0,2019,University of Alberta,92158.0,Operating Grant,Grant Program,Endoplasmic Reticulum Function in Heart Health,Biomedical,Cardiovascular
592666.0,2019,Hotchkiss Brain Institute,48082.0,Operating Grant,Grant Program,Investigating the role of Cystatin C in multiple sclerosis.,Biomedical,Multiple disease relevance
